% E S A B V L (calculated)
0.9	0.69	0	0.46	2.0168	7.432
0.83	0.64	0	0.23	2.0168	7.578
0.9	0.77	0	0.38	2.0168	7.621
0.88	0.74	0	0.22	2.0168	7.741
0.98	0.67	0	0.44	2.1577	8.063
0.8	0.75	0	0.17	2.1577	7.78
0.9	0.69	0	0.46	2.1577	7.905
0.9	0.69	0	0.45	2.1577	7.966
0.98	0.67	0	0.42	2.1577	8.04
0.8	0.75	0	0.13	2.2986	8.343
0.86	0.76	0	0.23	2.2986	8.563
0.89	0.66	0	0.17	2.2986	8.42
0.9	0.69	0	0.51	2.2986	8.144
0.9	0.73	0	0.2	2.2986	8.511
0.91	0.66	0	0.3	2.4395	8.665
0.98	0.67	0	0.38	2.4395	9.103
0.95	0.57	0	0.31	2.4395	8.792
0.95	0.66	0	0.34	2.4395	8.934
0.86	0.76	0	0.23	2.4395	9.005
0.87	0.76	0	0.2	2.5804	9.339
0.93	0.7	0	0.44	2.5804	9.458
0.91	0.57	0	0.31	2.5804	9.034
0.9	0.69	0	0.51	2.5804	9.154
0.8	0.75	0	0.17	2.5804	9.001
0.88	0.64	0	0.13	2.7213	9.646
0.9	0.64	0	0.23	2.7213	9.532
0.93	0.78	0	0.42	2.7213	10.064
0.89	0.71	0	0.23	2.7213	9.793
0.88	0.57	0	0.43	2.7213	9.211
0.98	0.59	0	0.51	2.8622	10.01
0.95	0.66	0	0.23	2.8622	10.433
0.9	0.77	0	0.36	2.8622	10.17
0.85	0.64	0	0.21	2.8622	10.348
0.9	0.73	0	0.2	2.8622	10.236
0.95	0.66	0	0.3	3.0031	10.368
0.9	0.69	0	0.37	3.0031	10.665
0.98	0.59	0	0.51	3.0031	10.647
0.95	0.57	0	0.33	3.0031	10.522
0.95	0.66	0	0.23	3.0031	10.659
0.98	0.59	0	0.45	3.144	11.192
0.88	0.57	0	0.31	3.144	11.032
0.98	0.59	0	0.39	3.144	11.247
0.95	0.66	0	0.23	3.144	11.194
0.9	0.73	0	0.21	3.144	10.731
0.9	0.64	0	0.23	3.2849	11.369
0.87	0.31	0	0.39	3.2849	11.351
0.9	0.64	0	0.21	3.2849	11.507
0.98	0.59	0	0.46	3.2849	11.451
0.95	0.26	0	0.28	3.2849	11.085
0.9	0.64	0	0.21	3.4258	12.162
0.98	0.59	0	0.44	3.4258	12.482
0.9	0.69	0	0.46	3.4258	12.333
0.9	0.64	0	0.21	3.4258	12.067
0.98	0.59	0	0.46	3.4258	11.914
0.95	0.2	0	0.39	3.5667	11.982
0.98	0.59	0	0.45	3.5667	12.46
1.02	0.6	0	0.5	3.5667	13.05
0.98	0.59	0	0.51	3.5667	12.985
1.02	0.6	0	0.44	3.5667	13.055
0.98	0.59	0	0.44	3.7076	12.844
0.93	0.7	0	0.44	3.7076	13.27
0.9	0.69	0	0.5	3.7076	12.581
0.93	0.7	0	0.44	3.7076	13.096
0.98	0.59	0	0.39	3.7076	12.983
0.95	0.57	0	0.25	3.8485	13.533
0.98	0.59	0	0.44	3.8485	13.203
0.95	0.2	0	0.39	3.8485	12.987
0.95	0.57	0	0.31	3.8485	12.919
0.98	0.59	0	0.37	3.8485	13.414
0.95	0.26	0	0.22	3.9894	13.456
0.98	0.59	0	0.46	3.9894	13.46
0.98	0.59	0	0.51	3.9894	13.436
0.87	0.68	0	0.22	3.9894	13.286
0.95	0.57	0	0.25	3.9894	14.159
2.32	1.29	0	0.36	1.6276	8.728
2.35	1.3	0	0.4	1.7685	9.471
2.35	1.3	0	0.39	1.7685	9.322
2.21	1.44	0	0.41	1.7255	10.002
2.35	1.3	0	0.39	1.7685	9.55
2.47	1.61	0	0.42	1.7255	9.902
2.37	1.72	0	0.47	1.8664	10.475
2.33	1.61	0	0.55	1.8664	8.918
2.39	1.31	0	0.44	1.9094	10.064
2.32	1.29	0	0.42	1.9094	9.672
2.25	1.46	0	0.44	1.8664	10.493
2.35	1.3	0	0.46	2.0503	10.186
2.39	1.31	0	0.5	2.0503	10.526
2.28	1.47	0	0.49	2.0073	11.11
2.35	1.3	0	0.45	2.0503	10.265
2.25	1.45	0	0.47	2.0073	10.399
2.16	1.65	0	0.51	2.1482	10.775
2.28	1.39	0	0.51	2.1482	11.479
2.35	1.22	0	0.53	2.1912	10.325
2.39	1.15	0	0.46	2.1912	10.802
2.42	1.74	0	0.51	2.1482	11.24
2.42	1.24	0	0.55	2.3321	11.489
2.39	1.23	0	0.5	2.3321	11.447
2.18	1.55	0	0.67	2.2891	10.257
2.35	1.22	0	0.48	2.3321	11.256
2.44	1.73	0	0.54	2.2891	11.2
2.39	1.23	0	0.5	2.473	11.928
2.42	1.24	0	0.49	2.473	12.12
2.4	1.65	0	0.57	2.43	12.041
2.14	1.55	0	0.56	2.43	11.596
2.14	1.39	0	0.63	2.43	11.03
2.39	1.15	0	0.53	2.6139	11.919
2.18	1.55	0	0.57	2.5709	11.782
2.34	1.08	0	0.52	2.6139	12.385
2.42	1.08	0	0.51	2.6139	12.464
2.34	1.16	0	0.62	2.6139	12.03
2.42	1.16	0	0.68	2.7548	12.202
2.18	1.56	0	0.64	2.7118	11.113
2.42	1.08	0	0.57	2.7548	12.698
2.14	1.47	0	0.62	2.7118	11.117
2.14	1.38	0	0.63	2.7118	11.22
2.34	1.16	0	0.56	2.8957	13.284
2.37	1.01	0	0.57	2.8957	13.347
2.42	1.49	0	0.61	2.8527	13.227
2.34	1.16	0	0.57	2.8957	13.205
2.4	1.56	0	0.65	2.8527	12.012
2.42	1.58	0	0.72	2.9936	12.348
2.18	1.4	0	0.72	2.9936	11.738
2.37	1.09	0	0.62	3.0366	13.685
2.16	1.33	0	0.6	2.9936	13.862
2.18	1.48	0	0.71	2.9936	11.58
2.18	1.4	0	0.72	3.1345	11.948
3.69	2.32	0	0.53	2.9829	15.168
2.34	1.08	0	0.65	3.1775	13.807
2.34	1.16	0	0.62	3.1775	13.547
3.69	2.32	0	0.54	2.9829	15.083
2.18	1.48	0	0.69	3.2754	13.054
2.18	1.41	0	0.68	3.2754	13.5
2.18	1.4	0	0.57	3.2754	14.197
3.75	2.18	0	0.6	3.1238	15.546
2.18	1.55	0	0.73	3.2754	12.324
3.73	2.17	0	0.58	3.2647	16
2.34	1.08	0	0.64	3.4593	14.77
2.37	1.01	0	0.63	3.4593	14.999
2.47	1.58	0	0.66	3.4163	14.593
2.42	1.47	0	0.68	3.4163	13.457
2.34	1.08	0	0.57	3.6002	15.088
2.46	1.58	0	0.64	3.5572	14.95
3.75	2.18	0	0.6	3.4056	16.491
2.44	1.49	0	0.68	3.5572	14.416
3.73	2.25	0	0.7	3.4056	16.03
1.28	0.93	0	0.18	1.0854	5.392
1.32	0.94	0	0.2	1.2263	5.883
1.32	0.94	0	0.21	1.2263	5.986
1.32	0.86	0	0.23	1.3672	6.126
1.35	0.95	0	0.25	1.3672	6.579
1.35	0.95	0	0.25	1.3672	6.579
1.35	0.95	0	0.24	1.3672	6.476
1.35	0.95	0	0.26	1.3672	6.5
1.39	0.96	0	0.27	1.5081	7.07
1.38	0.96	0	0.3	1.5081	7.014
1.37	0.96	0	0.26	1.5081	6.731
1.39	0.96	0	0.27	1.5081	6.888
1.37	0.96	0	0.26	1.5081	6.731
1.35	0.87	0	0.27	1.649	7.341
1.42	0.97	0	0.32	1.649	7.584
1.35	0.87	0	0.26	1.649	7.192
1.42	0.97	0	0.32	1.649	7.766
1.42	0.97	0	0.32	1.649	7.505
1.26	0.94	0	0.38	1.7469	7.279
1.36	0.97	0	0.38	1.7469	6.687
1.36	1	0	0.37	1.7469	7.017
1.32	1.04	0	0.39	1.7469	7.401
1.39	1.08	0	0.35	1.7469	7.005
1.35	0.87	0	0.25	1.9308	7.881
1.26	0.93	0	0.35	1.8878	7.923
1.39	1.07	0	0.37	1.8878	6.808
1.25	0.94	0	0.3	1.8878	7.475
1.39	0.98	0	0.41	1.8878	7.161
1.39	1.08	0	0.35	2.0287	7.95
1.39	1.08	0	0.35	2.0287	7.796
1.42	0.81	0	0.36	2.0717	8.589
1.43	1.01	0	0.38	2.0287	7.848
1.35	0.87	0	0.27	2.0717	8.605
1.39	0.88	0	0.28	2.2126	9.388
1.39	0.8	0	0.36	2.2126	8.986
1.39	1	0	0.36	2.1696	8.165
1.37	0.8	0	0.3	2.2126	8.996
1.39	0.8	0	0.37	2.2126	8.845
1.39	0.9	0	0.36	2.3105	8.774
1.37	0.88	0	0.28	2.3535	9.42
1.42	0.81	0	0.41	2.3535	9.36
1.39	0.88	0	0.28	2.3535	9.656
1.39	0.8	0	0.31	2.3535	9.464
1.32	0.94	0	0.53	2.4514	9.298
1.41	0.81	0	0.34	2.4944	10.058
1.32	0.86	0	0.23	2.4944	9.608
1.43	1.01	0	0.45	2.4514	8.812
1.37	0.8	0	0.3	2.4944	9.797
1.43	1	0	0.47	2.5923	8.83
1.35	0.87	0	0.25	2.6353	10.108
1.43	0.83	0	0.46	2.5923	9.194
1.39	0.8	0	0.3	2.6353	10.344
1.37	0.95	0	0.49	2.5923	9.935
1.42	0.89	0	0.34	2.7762	11.278
1.46	1.09	0	0.48	2.7332	9.284
1.42	0.81	0	0.41	2.7762	10.835
1.46	0.94	0	0.42	2.7332	9.831
1.39	0.89	0	0.31	2.7762	10.649
1.37	0.88	0	0.28	2.9171	11.287
1.41	0.81	0	0.39	2.9171	10.907
1.46	0.94	0	0.48	2.8741	10.065
1.42	0.81	0	0.35	2.9171	11.405
1.37	0.79	0	0.4	2.8741	10.526
1.35	0.79	0	0.33	3.058	11.183
1.43	1	0	0.41	3.015	10.348
1.39	0.81	0	0.32	3.058	11.893
1.42	0.81	0	0.41	3.058	11.639
1.42	0.89	0	0.33	3.058	11.907
1.37	0.55	0	0.45	3.1559	11.182
1.37	0.8	0	0.35	3.1989	11.751
1.35	0.79	0	0.26	3.1989	11.924
1.39	0.81	0	0.32	3.1989	12.522
1.35	0.87	0	0.58	3.1559	11.291
1.42	0.81	0	0.35	3.3398	12.825
1.42	0.81	0	0.36	3.3398	12.553
1.37	0.79	0	0.58	3.2968	11.789
1.42	0.81	0	0.42	3.3398	12.892
1.41	0.89	0	0.33	3.3398	12.655
1.39	0.8	0	0.37	3.4807	12.427
1.37	0.79	0	0.58	3.4377	12.109
1.35	0.79	0	0.61	3.4377	12.047
1.46	0.93	0	0.51	3.4377	11.285
1.42	0.81	0	0.35	3.4807	13.21
1.46	0.93	0	0.45	3.5786	11.983
1.39	0.8	0	0.36	3.6216	13.452
1.42	0.81	0	0.4	3.6216	13.524
1.34	0.81	0	0.34	3.6216	13.609
1.41	0.81	0	0.34	3.6216	13.732
1.35	0.79	0	0.61	3.7195	13.207
1.41	0.81	0	0.33	3.7625	13.529
1.39	0.81	0	0.32	3.7625	13.821
1.42	0.81	0	0.41	3.7625	14.099
1.41	0.81	0	0.4	3.7625	13.966
1.37	0.8	0	0.3	3.9034	14.227
1.37	0.8	0	0.29	3.9034	13.969
1.42	0.81	0	0.42	3.9034	14.146
1.41	0.81	0	0.33	3.9034	14.368
1.41	0.81	0	0.4	3.9034	14.028
0.36	0.57	0	0	1.3004	4.853
0.44	0.46	0	0	1.3004	4.661
0.53	0.36	0	0	1.3004	4.985
0.36	0.57	0	0	1.3004	4.517
0.31	0.3	0	0	1.3004	4.631
0.44	0.46	0	0	1.4413	5.048
0.4	0.46	0	0	1.4413	5.381
0.53	0.36	0	0	1.4413	5.218
0.44	0.46	0	0	1.4413	5.078
0.36	0.57	0	0	1.4413	4.937
0.44	0.99	0	0	1.5822	5.608
0.44	0.16	0	0	1.5822	5.522
0.53	0.36	0	0	1.5822	5.595
0.53	0.36	0	0	1.5822	5.71
0.44	0.46	0	0	1.5822	5.373
0.53	0.36	0	0	1.7231	6.021
0.44	0.46	0	0.16	1.7231	5.884
0.48	0.36	0	0	1.7231	6.008
0.53	0.36	0	0	1.7231	5.727
0.44	0.99	0	0	1.7231	5.955
0.48	0.1	0	0	1.864	6.339
0.53	0.36	0	0	1.864	6.259
0.48	0.36	0	0	1.864	6.549
0.53	0.36	0	0	1.864	6.564
0.53	0.36	0	0	1.864	6.409
0.53	0.36	0	0	2.0049	6.651
0.53	0.36	0	0	2.0049	6.772
0.53	0.36	0	0	2.0049	6.553
0.53	0.36	0	0	2.0049	6.562
0.4	0.99	0	0	2.0049	7.018
0.44	0.99	0	0	2.1458	7.343
0.44	0.46	0	0	2.1458	7.681
0.44	0.46	0	0	2.1458	7.481
